Domain Code,Domain,Area Code,Area,Element Code,Element,Item Code,Item,Year Code,Year,Unit,Value,Flag,Flag Description
"RL","Land Use","102","Iran (Islamic Republic of)","5110","Area","6650","Permanent crops","2004","2004","1000 ha","1521","A","Official figure"
"RL","Land Use","102","Iran (Islamic Republic of)","5110","Area","6655","Permanent meadows and pastures","2004","2004","1000 ha","46600","A","Official figure"
"RL","Land Use","102","Iran (Islamic Republic of)","5110","Area","6621","Arable land","2005","2005","1000 ha","16533","A","Official figure"
"RL","Land Use","102","Iran (Islamic Republic of)","5110","Area","6650","Permanent crops","2005","2005","1000 ha","1574","A","Official figure"
"RL","Land Use","102","Iran (Islamic Republic of)","5110","Area","6655","Permanent meadows and pastures","2005","2005","1000 ha","29524","B","Time series break"
"RL","Land Use","102","Iran (Islamic Republic of)","5110","Area","6621","Arable land","2006","2006","1000 ha","16701","A","Official figure"
"RL","Land Use","102","Iran (Islamic Republic of)","5110","Area","6650","Permanent crops","2006","2006","1000 ha","1627","A","Official figure"
"RL","Land Use","102","Iran (Islamic Republic of)","5110","Area","6655","Permanent meadows and pastures","2006","2006","1000 ha","29524","A","Official figure"
"RL","Land Use","102","Iran (Islamic Republic of)","5110","Area","6621","Arable land","2007","2007","1000 ha","16869","A","Official figure"
"RL","Land Use","102","Iran (Islamic Republic of)","5110","Area","6650","Permanent crops","2007","2007","1000 ha","1680","A","Official figure"
"RL","Land Use","102","Iran (Islamic Republic of)","5110","Area","6655","Permanent meadows and pastures","2007","2007","1000 ha","29524","A","Official figure"
"RL","Land Use","102","Iran (Islamic Republic of)","5110","Area","6621","Arable land","2008","2008","1000 ha","15545","A","Official figure"
"RL","Land Use","102","Iran (Islamic Republic of)","5110","Area","6650","Permanent crops","2008","2008","1000 ha","1637","A","Official figure"
"RL","Land Use","102","Iran (Islamic Republic of)","5110","Area","6655","Permanent meadows and pastures","2008","2008","1000 ha","29503","I","Imputed value"
"RL","Land Use","102","Iran (Islamic Republic of)","5110","Area","6621","Arable land","2009","2009","1000 ha","15566","A","Official figure"
"RL","Land Use","102","Iran (Islamic Republic of)","5110","Area","6650","Permanent crops","2009","2009","1000 ha","1643.2","A","Official figure"
"RL","Land Use","102","Iran (Islamic Republic of)","5110","Area","6655","Permanent meadows and pastures","2009","2009","1000 ha","29477","I","Imputed value"
